"No","Latitude","Longitude","Name","Description","Notes","Symbol","Date","Time"
2719,13.93333,122.90000,"Imelda","osm-id 198524323",,"City (Medium)",01/18/08,01:39:47 PM
4580,9.95000,123.08333,"Tayasan","osm-id 198511629",,"City (Medium)",01/18/08,01:32:28 PM
4579,9.98333,123.11667,"Jimalalud","osm-id 198514388",,"City (Medium)",01/18/08,01:37:26 PM
4578,10.03333,123.56667,"Sibonga","osm-id 198508923",,"City (Medium)",01/18/08,01:34:25 PM
2804,13.38333,123.33333,"Nabua","osm-id 198526068",,"City (Medium)",01/18/08,01:29:32 PM
2803,13.48333,123.35000,"Baao","osm-id 198492690",,"City (Medium)",01/18/08,12:44:44 PM
4583,9.86667,123.06667,"Ayungon","osm-id 198492691",,"City (Medium)",01/18/08,12:44:45 PM
4582,9.86667,123.05000,"Bindoy","osm-id 198504584",,"City (Medium)",01/18/08,12:47:57 PM
2771,13.85000,123.65000,"Garchitorena","osm-id 198508610",,"City (Medium)",01/18/08,01:35:08 PM
2714,13.93333,122.41667,"Guinayangan","osm-id 198506568",,"City (Medium)",01/18/08,01:21:09 PM
2774,13.73333,123.70000,"Presentacion","osm-id 198520815",,"City (Medium)",01/18/08,01:38:05 PM
2780,13.53333,122.43333,"Mulanay","osm-id 198514947",,"City (Medium)",01/18/08,01:36:43 PM
119,17.60000,120.68333,"Tayum","osm-id 198508159",,"City (Medium)",01/18/08,01:21:55 PM
4576,10.11792,123.50149,"Barili","osm-id 198525403",,"City (Medium)",01/04/09,05:36:01 PM
2788,13.58333,123.08333,"Pamplona","osm-id 198496650",,"City (Medium)",01/18/08,12:41:19 PM
5721,9.11667,125.65000,"Cabadbaran","osm-id 198493523",,"City (Medium)",01/18/08,12:46:21 PM
3666,12.48333,124.95000,"Pambujan","osm-id 198517654",,"City (Medium)",01/18/08,01:39:05 PM
2783,13.68333,123.20000,"Bombon","osm-id 198520582",,"City (Medium)",01/18/08,01:38:13 PM
2784,13.64718,123.14991,"Canaman","osm-id 198491194",,"City (Medium)",01/19/08,05:35:21 PM
2775,13.56667,122.53333,"San Narciso","osm-id 198512108",,"City (Medium)",01/18/08,01:32:18 PM
4540,10.51667,122.81667,"Pulupandan","osm-id 198497880",,"City (Medium)",01/18/08,12:41:52 PM
2778,13.66667,122.98333,"Libmanan","osm-id 198493130",,"City (Medium)",01/18/08,12:44:58 PM
2779,13.55000,122.98333,"Pasacao","osm-id 198523691",,"City (Medium)",01/18/08,01:40:07 PM
2795,13.63333,123.45000,"Tigaon","osm-id 198499305",,"City (Medium)",01/18/08,12:42:26 PM
4677,9.45000,123.18333,"Amlan","osm-id 198509575",,"City (Medium)",01/18/08,01:33:46 PM
2791,13.58333,123.16667,"Milaor","osm-id 198524025",,"City (Medium)",01/19/08,05:32:15 PM
4562,10.26660,123.58543,"Pinamungajan","osm-id 198503583",,"City (Medium)",01/04/09,05:35:02 PM
2865,13.25738,123.49979,"Oas","osm-id 198491061",,"City (Medium)",11/12/08,10:16:58 PM
4560,10.25000,123.08333,"Moises Padilla","osm-id 198506903",,"City (Medium)",01/18/08,01:20:58 PM
4021,9.06667,117.78333,"Quezon","osm-id 198509554",,"City (Medium)",01/18/08,01:35:41 PM
2790,13.61667,123.15000,"Camaligan","osm-id 198512584",,"City (Medium)",01/18/08,01:32:34 PM
5234,10.63828,124.47181,"Tudela","osm-id 198512857",,"City (Medium)",07/20/08,06:33:13 AM
4546,10.41667,122.86667,"San Enrique","osm-id 198494197",,"City (Medium)",01/18/08,12:45:46 PM
2794,13.68333,123.53333,"San Jose","osm-id 198501958",,"City (Medium)",01/18/08,01:23:22 PM
2792,13.58333,123.30000,"Pili","osm-id 198501457",,"City (Medium)",01/18/08,01:22:57 PM
4552,10.26667,122.90000,"Hinigaran","osm-id 198530138",,"City (Medium)",01/18/08,01:31:47 PM
4551,10.33333,122.95000,"Pontevedra","osm-id 198492737",,"City (Medium)",01/18/08,12:44:14 PM
5546,9.65000,124.05000,"Loboc","osm-id 198502660",,"City (Medium)",01/18/08,01:23:40 PM
4516,10.51667,121.96667,"Dao","osm-id 198530188",,"City (Medium)",01/18/08,01:31:38 PM
349,16.04347,120.48985,"Manaoag","osm-id 198512195",,"City (Medium)",04/12/08,12:27:41 AM
630,14.10000,120.68333,"Nasugbu","osm-id 198526861",,"City (Medium)",04/01/08,05:16:14 PM
2835,12.93333,122.08333,"Banton","osm-id 198526872",,"City (Medium)",01/18/08,01:29:35 PM
2643,13.93333,122.00000,"Plaridel","osm-id 198512031",,"City (Medium)",01/18/08,01:32:12 PM
2644,13.91697,122.09978,"Gumaca","osm-id 198525735",,"City (Medium)",12/16/08,10:32:09 PM
2830,12.83333,121.36667,"Bansud","osm-id 198504241",,"City (Medium)",01/18/08,01:24:36 PM
2655,13.74763,122.14045,"Macalelon","osm-id 198525298",,"City (Medium)",12/16/08,10:41:04 PM
2660,13.66667,121.25000,"Lobo","osm-id 198515173",,"City (Medium)",01/18/08,01:36:36 PM
2831,12.71667,121.36667,"Bongabong","osm-id 198509132",,"City (Medium)",01/18/08,01:35:55 PM
2650,13.83931,121.97636,"Unisan","osm-id 198527479",,"City (Medium)",12/16/08,09:50:46 PM
2651,13.88251,122.26111,"Lopez","osm-id 29941170",,"City (Medium)",01/29/09,03:55:34 AM
2652,13.83333,122.28333,"Lopez","osm-id 198497184",,"City (Medium)",01/18/08,12:41:02 PM
4511,10.73333,123.45000,"Toboso","osm-id 198498706",,"City (Medium)",01/18/08,12:42:45 PM
118,17.63333,120.75000,"Dolores","osm-id 198531358",,"City (Medium)",01/18/08,01:30:02 PM
5773,8.10270,123.98460,"Maigo","osm-id 198522123",,"City (Medium)",02/12/08,02:31:02 PM
4781,7.90000,121.33333,"Taraka","osm-id 198495321",,"City (Medium)",01/18/08,12:47:26 PM
2626,13.97460,121.68545,"Pagbilao","osm-id 198505234",,"City (Medium)",01/06/09,06:33:54 PM
313,16.28333,120.41667,"Santo Tomas","osm-id 198501537",,"City (Medium)",01/18/08,01:22:56 PM
6348,5.40028,125.38556,"Sarangani","osm-id 198517085",,"City (Medium)",12/12/08,09:43:46 AM
337,15.91667,120.18333,"Bugallon","osm-id 198523096",,"City (Medium)",01/18/08,01:40:16 PM
2475,14.25000,122.71667,"Jose Panganiban","osm-id 198515118",,"City (Medium)",01/18/08,01:36:39 PM
1905,14.58623,121.16924,"Antipolo","osm-id 165952298",,"City (Medium)",01/29/09,03:54:58 AM
2634,13.91740,121.81634,"Padre Burgos","osm-id 198509823",,"City (Medium)",12/16/08,09:32:28 PM
2838,12.80000,122.05000,"Corcuera","osm-id 198501251",,"City (Medium)",10/15/08,11:08:24 PM
2636,13.96667,121.88333,"Atimonan","osm-id 198494720",,"City (Medium)",04/01/08,05:01:21 PM
5877,7.73333,124.30000,"Butig","osm-id 198499838",,"City (Medium)",01/18/08,12:43:45 PM
2814,13.05000,121.35000,"Socorro","osm-id 198493226",,"City (Medium)",01/18/08,12:46:00 PM
2812,13.15000,121.26667,"Victoria","osm-id 198492556",,"City (Medium)",01/18/08,12:45:24 PM
2703,13.40000,121.90000,"Boac","osm-id 198520873",,"City (Medium)",01/18/08,01:41:22 PM
2808,13.33333,121.00000,"San Teodoro","osm-id 198496972",,"City (Medium)",01/18/08,12:41:09 PM
2680,13.52066,120.97739,"Sabang","osm-id 206258785",,"City (Medium)",01/29/09,03:55:13 AM
113,17.61667,120.51667,"Langiden","osm-id 198519316",,"City (Medium)",01/18/08,01:38:30 PM
427,16.86667,121.58333,"San Mateo","osm-id 198523227",,"City (Medium)",01/18/08,01:40:30 PM
2815,13.31667,121.88333,"Gasan","osm-id 198499908",,"City (Medium)",01/18/08,12:43:15 PM
2806,13.43333,123.51667,"Buhi","osm-id 198524180",,"City (Medium)",01/18/08,01:39:54 PM
2773,13.71667,123.41667,"Goa","osm-id 198509600",,"City (Medium)",01/18/08,01:33:47 PM
4588,9.97594,123.41222,"Alcantara","osm-id 198500742",,"City (Medium)",01/04/09,05:36:48 PM
2810,13.25000,121.20000,"Naujan","osm-id 198490662",,"City (Medium)",01/18/08,01:26:50 PM
2707,13.47343,122.02843,"Santa Cruz","osm-id 198521607",,"City (Medium)",12/21/08,12:33:58 AM
5905,7.26667,124.43333,"Pigkawayan","osm-id 198510016",,"City (Medium)",01/18/08,01:33:44 PM
2710,14.01667,122.53333,"Tagkawayan","osm-id 198524356",,"City (Medium)",01/18/08,01:39:45 PM
4524,10.48333,122.56667,"Nueva Valencia","osm-id 198507762",,"City (Medium)",01/18/08,01:21:43 PM
6021,6.86667,124.75000,"Buluan","osm-id 198528081",,"City (Medium)",01/18/08,01:28:04 PM
2688,13.40705,121.17785,"Calapan","osm-id 198509485",,"City (Medium)",09/19/08,04:48:31 PM
2828,13.00000,121.41667,"Pinamalayan","osm-id 198520987",,"City (Medium)",01/18/08,01:41:28 PM
2827,12.88333,121.03333,"Sablayan","osm-id 198515564",,"City (Medium)",01/18/08,01:37:02 PM
3982,11.80000,125.36667,"Sulat","osm-id 198528682",,"City (Medium)",01/18/08,01:28:23 PM
4577,10.05776,123.44552,"Dumanjug","osm-id 198515028",,"City (Medium)",01/04/09,05:36:18 PM
4606,9.31667,118.40000,"Narra","osm-id 198516044",,"City (Medium)",01/18/08,01:36:15 PM
4604,9.51667,118.45000,"Aborlan","osm-id 198505337",,"City (Medium)",01/18/08,12:48:15 PM
2695,13.58954,122.32414,"Catanauan","osm-id 198513869",,"City (Medium)",12/16/08,11:04:15 PM
3186,12.33333,121.33333,"Bulalakao","osm-id 198492719",,"City (Medium)",01/18/08,12:44:36 PM
2820,13.25000,121.96667,"Buenavista","osm-id 198505205",,"City (Medium)",01/18/08,12:48:24 PM
2769,13.71667,123.23333,"Calabanga","osm-id 198500099",,"City (Medium)",01/18/08,12:43:00 PM
2686,13.35964,121.09599,"Baco","osm-id 198505827",,"City (Medium)",12/11/08,11:21:11 PM
2991,11.99858,120.20566,"Coron","osm-id 188143013",,"City (Medium)",01/28/09,03:43:39 AM
4386,10.76667,121.95000,"San Jose","osm-id 198518073",,"City (Medium)",01/18/08,01:38:58 PM
4387,10.88333,122.11667,"San Remigio","osm-id 198510723",,"City (Medium)",01/18/08,01:33:09 PM
4391,10.78333,122.30000,"Tubungan","osm-id 198529262",,"City (Medium)",01/18/08,01:31:03 PM
4943,7.01667,118.46667,"Cagayan de Tawi-Tawi","osm-id 198529002",,"City (Medium)",01/18/08,01:28:17 PM
4379,10.81667,121.00000,"Cuyo","osm-id 198506245",,"City (Medium)",01/18/08,12:49:06 PM
4926,7.48333,123.31667,"Pitogo","osm-id 198512788",,"City (Medium)",01/18/08,01:37:42 PM
2485,14.10000,122.91667,"Daet","osm-id 198529935",,"City (Medium)",01/18/08,01:31:30 PM
5061,6.63333,121.96667,"Isabela","osm-id 198525942",,"City (Medium)",01/18/08,01:28:50 PM
5829,8.08000,124.68778,"Talakag","osm-id 198491051",,"City (Medium)",12/12/08,09:43:20 AM
565,14.93333,120.93333,"Bustos","osm-id 198492707",,"City (Medium)",04/01/08,04:55:23 PM
441,16.73333,121.86667,"San Guillermo","osm-id 198524975",,"City (Medium)",01/18/08,01:28:46 PM
421,15.51667,120.86667,"Aliaga","osm-id 198493279",,"City (Medium)",01/18/08,12:46:01 PM
4920,7.55000,123.18333,"Margosatubig","osm-id 198493583",,"City (Medium)",01/18/08,12:46:04 PM
4390,10.76667,122.25000,"Igbaras","osm-id 198527085",,"City (Medium)",01/18/08,01:27:20 PM
4665,9.65100,123.32828,"Malabuyoc","osm-id 198518648",,"City (Medium)",01/04/09,05:40:12 PM
417,15.60000,120.83333,"Quezon","osm-id 198491614",,"City (Medium)",01/18/08,01:24:43 PM
539,15.05000,120.80000,"San Luis","osm-id 198502685",,"City (Medium)",04/01/08,05:03:57 PM
4303,10.51667,119.26667,"San Vicente","osm-id 198523496",,"City (Medium)",01/18/08,01:40:02 PM
473,15.75966,121.56230,"Baler","osm-id 310526507",,"City (Medium)",01/29/09,03:55:24 AM
3388,11.50000,122.60000,"Sapi-an","osm-id 198508757",,"City (Medium)",01/18/08,01:35:35 PM
4368,10.93333,121.06667,"Magsaysay","osm-id 198501514",,"City (Medium)",01/18/08,01:22:55 PM
4376,10.93333,122.01667,"Patnongon","osm-id 198492699",,"City (Medium)",01/18/08,12:44:53 PM
6125,5.54230,120.86000,"Siasi","osm-id 198492803",,"City (Medium)",12/12/08,09:42:51 AM
6064,6.68333,125.33333,"Hagonoy","osm-id 198495747",,"City (Medium)",01/18/08,12:47:02 PM
6085,6.53333,126.11667,"Governor Generoso","osm-id 198499510",,"City (Medium)",01/18/08,12:43:51 PM
3925,11.51667,124.86667,"Talalora","osm-id 198514914",,"City (Medium)",01/18/08,01:36:25 PM
4374,11.08333,122.18333,"Bugasong","osm-id 198513647",,"City (Medium)",01/18/08,01:38:02 PM
4375,11.03333,122.20000,"Valderama","osm-id 198503321",,"City (Medium)",01/18/08,01:24:01 PM
4411,11.00000,122.58333,"Janiuay","osm-id 198492584",,"City (Medium)",01/18/08,12:45:30 PM
1933,14.53333,121.21667,"Morong","osm-id 198516021",,"City (Medium)",04/01/08,04:51:33 PM
3697,12.28333,124.85000,"Silvino Lobos","osm-id 198508815",,"City (Medium)",01/18/08,01:34:36 PM
261,16.75000,120.81667,"Buguias","osm-id 198527633",,"City (Medium)",01/18/08,01:27:52 PM
4394,10.70000,122.30000,"Guimbal","osm-id 198527567",,"City (Medium)",01/18/08,01:27:42 PM
4890,7.53333,122.93333,"Alicia","osm-id 198497404",,"City (Medium)",01/18/08,12:42:15 PM
5389,9.93333,124.03333,"Clarin","osm-id 198503155",,"City (Medium)",01/18/08,01:23:49 PM
4410,11.05000,122.58333,"Duenas","osm-id 198491111",,"City (Medium)",01/18/08,01:26:33 PM
4874,7.53333,122.36667,"Tungawan","osm-id 198500927",,"City (Medium)",01/18/08,01:22:36 PM
2497,13.75000,120.23333,"Looc","osm-id 198498484",,"City (Medium)",01/18/08,12:42:58 PM
165,16.90000,120.58333,"Alilem","osm-id 198493832",,"City (Medium)",01/18/08,12:45:32 PM
2501,14.05044,120.93325,"Laurel","osm-id 198505061",,"City (Medium)",11/14/08,06:56:58 PM
2845,13.31667,122.55000,"San Francisco","osm-id 198497945",,"City (Medium)",01/18/08,12:41:46 PM
4416,10.90000,122.58333,"New Lucena","osm-id 198504991",,"City (Medium)",01/18/08,12:48:27 PM
3404,11.41667,122.96667,"President Roxas","osm-id 198513183",,"City (Medium)",01/18/08,01:37:50 PM
4395,10.60000,122.08333,"San Joaquin","osm-id 198531834",,"City (Medium)",01/18/08,01:30:23 PM
4904,7.68620,123.20060,"Lapuyan","osm-id 198493158",,"City (Medium)",02/12/08,02:29:35 PM
4898,7.41667,122.90000,"Mabuhay","osm-id 198529899",,"City (Medium)",01/18/08,01:31:33 PM
4392,10.66667,122.01667,"Hamtic","osm-id 198491314",,"City (Medium)",01/18/08,01:25:01 PM
3641,12.41667,124.38333,"Victoria","osm-id 198493729",,"City (Medium)",01/18/08,12:45:36 PM
5949,7.15100,125.65835,"Panacan","osm-id 325093294",,"City (Medium)",01/29/09,03:55:09 AM
2377,14.21667,121.31667,"Victoria","osm-id 198503526",,"City (Medium)",04/01/08,04:58:05 PM
4402,11.23333,122.91667,"Lemery","osm-id 198492650",,"City (Medium)",01/18/08,12:45:11 PM
4403,11.15000,123.01667,"Ajuy","osm-id 198528164",,"City (Medium)",01/18/08,01:28:08 PM
4697,9.12597,123.63528,"Lazi","osm-id 198513528",,"City (Medium)",07/18/08,08:59:44 PM
4396,11.21667,122.40000,"Tapaz","osm-id 198515772",,"City (Medium)",01/18/08,01:36:08 PM
4825,7.90000,123.06667,"Bayog","osm-id 198511250",,"City (Medium)",01/18/08,01:33:32 PM
4399,11.11667,122.40000,"Lambunao","osm-id 198517401",,"City (Medium)",01/18/08,01:39:07 PM
4400,11.15000,122.65000,"Passi","osm-id 198493661",,"City (Medium)",01/18/08,12:46:13 PM
3624,12.51667,124.41667,"Rosario","osm-id 198491204",,"City (Medium)",01/18/08,01:25:10 PM
6013,6.76667,124.16667,"South Upi","osm-id 198501213",,"City (Medium)",01/18/08,01:22:49 PM
4789,8.10000,122.66667,"Liloy","osm-id 198512170",,"City (Medium)",01/18/08,01:32:49 PM
4925,7.53340,123.31430,"Dimataling","osm-id 198528144",,"City (Medium)",02/12/08,02:29:55 PM
5801,8.03139,124.21000,"Pantar","osm-id 198500910",,"City (Medium)",02/12/08,02:31:06 PM
253,16.81667,120.40000,"Balaoan","osm-id 198492767",,"City (Medium)",01/18/08,12:44:06 PM
238,16.98333,121.78333,"Reina Mercedes","osm-id 198501990",,"City (Medium)",01/18/08,01:23:21 PM
4589,9.88333,123.53333,"Argao","osm-id 198506777",,"City (Medium)",01/18/08,01:20:49 PM
3729,12.11667,125.16667,"Maslog","osm-id 198495265",,"City (Medium)",01/18/08,12:47:24 PM
13,20.41667,121.96667,"Mahatao","osm-id 198515009",,"City (Medium)",12/31/07,12:49:31 PM
540,15.00000,120.65000,"Bacolor","osm-id 198531510",,"City (Medium)",04/01/08,05:01:20 PM
3838,11.85000,124.98333,"Jiabong","osm-id 198513895",,"City (Medium)",01/18/08,01:37:11 PM
4312,10.33333,119.35000,"Roxas","osm-id 198492697",,"City (Medium)",01/18/08,12:44:51 PM
5541,9.73333,124.11667,"Bilar","osm-id 198527428",,"City (Medium)",01/18/08,01:27:15 PM
3177,12.51667,121.40000,"Mansalay","osm-id 198505190",,"City (Medium)",01/18/08,12:48:25 PM
4929,7.43333,123.43333,"Tabina","osm-id 198499879",,"City (Medium)",01/18/08,12:43:11 PM
5056,6.63333,121.70000,"Lantawan","osm-id 198491818",,"City (Medium)",01/18/08,01:25:31 PM
4809,7.98333,122.53333,"Labason","osm-id 198515085",,"City (Medium)",01/18/08,01:36:40 PM
5078,6.50000,121.78333,"Maluso","osm-id 198495191",,"City (Medium)",01/18/08,12:46:44 PM
5075,6.63333,122.21667,"Tuburan","osm-id 198521557",,"City (Medium)",01/18/08,01:41:11 PM
5074,6.63333,122.10000,"Lamitan","osm-id 198529319",,"City (Medium)",01/18/08,01:31:16 PM
4717,8.52780,123.64440,"Calamba","osm-id 198520255",,"City (Medium)",02/12/08,02:29:12 PM
6029,6.81667,124.96667,"Tulunan","osm-id 198504946",,"City (Medium)",01/18/08,12:47:49 PM
4838,7.53611,122.16500,"Siraway","osm-id 198515287",,"City (Medium)",01/18/08,01:36:49 PM
5401,9.90000,124.43333,"Alicia","osm-id 198496211",,"City (Medium)",01/18/08,12:47:21 PM
5794,7.98000,123.82290,"Baroy","osm-id 198530951",,"City (Medium)",02/12/08,02:29:56 PM
5730,8.96667,126.15000,"Tago","osm-id 198494953",,"City (Medium)",01/18/08,12:46:33 PM
5242,11.16667,125.46667,"Quinapundan","osm-id 198530250",,"City (Medium)",01/18/08,01:31:42 PM
5186,11.16667,124.76667,"Jaro","osm-id 198503622",,"City (Medium)",01/18/08,01:24:10 PM
3840,11.85000,125.15000,"Wright","osm-id 198491798",,"City (Medium)",01/18/08,01:25:25 PM
457,16.18333,121.55000,"Maddela","osm-id 198492740",,"City (Medium)",01/18/08,12:44:11 PM
4956,6.18333,118.13333,"Turtle Islands","osm-id 198494686",,"City (Medium)",01/18/08,12:46:59 PM
5847,8.14278,125.62583,"Loreto","osm-id 198523515",,"City (Medium)",12/12/08,09:42:38 AM
2437,14.06667,122.13333,"Quezon","osm-id 198506465",,"City (Medium)",01/18/08,12:49:00 PM
117,17.66667,120.66667,"La Paz","osm-id 198522411",,"City (Medium)",01/18/08,01:40:34 PM
5887,7.63333,125.00000,"Dangcagan","osm-id 198514669",,"City (Medium)",01/18/08,01:37:35 PM
5693,8.96667,124.80000,"Kinogitan","osm-id 198527676",,"City (Medium)",01/18/08,01:27:50 PM
4693,8.51667,121.21667,"Sanchez-Mira","osm-id 198510583",,"City (Medium)",01/18/08,01:34:05 PM
5769,8.20550,123.75460,"Clarin","osm-id 198519488",,"City (Medium)",02/12/08,02:29:52 PM
5876,7.66667,124.18333,"Marogong","osm-id 198529424",,"City (Medium)",01/18/08,01:31:13 PM
4354,10.50000,119.75000,"Dumaran","osm-id 198521042",,"City (Medium)",01/18/08,01:41:29 PM
81,18.25000,120.61667,"Bacarra","osm-id 198522528",,"City (Medium)",01/18/08,01:40:46 PM
2103,14.44001,120.95277,"Bacoor","osm-id 198502170",,"City (Medium)",04/01/08,05:02:28 PM
153,17.13333,120.46667,"Santa Lucia","osm-id 198497125",,"City (Medium)",01/18/08,12:41:06 PM
5529,9.78333,123.93333,"Antequera","osm-id 198521606",,"City (Medium)",01/18/08,01:41:15 PM
412,15.63558,120.59272,"Paniqui","osm-id 30917614",,"City (Medium)",01/29/09,03:55:38 AM
5926,7.58333,125.76667,"Asuncion","osm-id 198501164",,"City (Medium)",01/18/08,01:22:46 PM
5010,5.68686,120.83700,"Lugus","osm-id 198499067",,"City (Medium)",12/12/08,09:43:18 AM
5669,9.48333,125.58333,"Alegria","osm-id 198523554",,"City (Medium)",01/18/08,01:39:55 PM
4389,10.76667,122.06667,"Sibalom","osm-id 198494593",,"City (Medium)",01/18/08,12:46:59 PM
220,17.18333,121.01667,"Sadanga","osm-id 198509520",,"City (Medium)",01/29/09,03:55:43 AM
3038,11.25000,119.43333,"El Nido","osm-id 198494002",,"City (Medium)",01/18/08,12:45:48 PM
403,15.76667,120.71667,"Cuyapo","osm-id 198499399",,"City (Medium)",01/18/08,12:43:50 PM
3273,12.03333,123.21667,"Balud","osm-id 198498904",,"City (Medium)",01/18/08,12:42:29 PM
5785,8.25667,124.72028,"Baungon","osm-id 198530524",,"City (Medium)",12/12/08,09:42:58 AM
4999,5.93672,120.92114,"Parang","osm-id 198515538",,"City (Medium)",12/12/08,09:43:48 AM
4783,7.93333,122.33333,"Gutalac","osm-id 198505684",,"City (Medium)",01/18/08,12:48:44 PM
5507,10.01768,126.07476,"Burgos","osm-id 198506518",,"City (Medium)",07/18/08,09:15:36 PM
397,15.70000,120.41667,"Camiling","osm-id 198503234",,"City (Medium)",01/18/08,01:23:59 PM
2356,14.09783,121.02196,"Talisay","osm-id 198523904",,"City (Medium)",06/10/08,06:54:53 PM
4799,8.26560,123.60450,"Don Victoriano Chiongbian","osm-id 198506690",,"City (Medium)",02/12/08,02:31:15 PM
2327,14.24555,121.50492,"Cavinti","osm-id 198496813",,"City (Medium)",09/24/08,05:09:20 PM
4786,8.40000,123.01667,"Ponot","osm-id 198506679",,"City (Medium)",01/18/08,01:21:13 PM
401,15.77626,120.59938,"San Manuel","osm-id 30917611",,"City (Medium)",01/29/09,03:55:39 AM
4481,10.81667,122.61667,"Zarraga","osm-id 198493381",,"City (Medium)",01/18/08,12:45:57 PM
5712,8.66667,125.05000,"Claveria","osm-id 198510946",,"City (Medium)",01/18/08,01:33:04 PM
2911,12.90772,123.59861,"Donsol","osm-id 25677829",,"City (Medium)",01/29/09,03:55:30 AM
5553,9.83333,124.48333,"Candijay","osm-id 198511372",,"City (Medium)",01/18/08,01:33:25 PM
3860,11.73333,125.03333,"San Sebastian","osm-id 198490652",,"City (Medium)",01/18/08,01:26:49 PM
2350,14.17962,121.22170,"Los Banos","osm-id 198495897",,"City (Medium)",10/19/08,03:23:55 PM
3768,11.90000,124.43333,"Santo Nino","osm-id 198523296",,"City (Medium)",01/18/08,01:40:22 PM
4796,8.38670,123.50650,"Mutia","osm-id 198505505",,"City (Medium)",02/12/08,02:29:31 PM
4794,8.28070,123.38070,"Sergio Osmena Sr.","osm-id 198522808",,"City (Medium)",02/12/08,02:29:46 PM
3559,12.95000,123.83333,"Castilla","osm-id 198507281",,"City (Medium)",01/18/08,01:21:19 PM
4804,8.12860,123.49730,"Molave","osm-id 198526444",,"City (Medium)",12/12/08,09:43:56 AM
4803,8.14230,123.43200,"Mahayag","osm-id 198528516",,"City (Medium)",12/12/08,09:43:55 AM
4802,8.18660,123.52680,"Josefina","osm-id 198515790",,"City (Medium)",12/12/08,09:43:11 AM
4800,8.13333,123.10000,"Siayan","osm-id 198503720",,"City (Medium)",01/18/08,01:24:18 PM
2322,14.36030,121.48270,"Paete","osm-id 198500130",,"City (Medium)",08/28/08,02:37:12 PM
2323,14.33333,121.51667,"Kalayaan","osm-id 198529668",,"City (Medium)",04/01/08,05:14:52 PM
381,15.65000,120.08333,"Candelaria","osm-id 198490799",,"City (Medium)",01/18/08,01:26:40 PM
4792,8.43333,123.18333,"President Manuel Acuna Roxas","osm-id 198502578",,"City (Medium)",02/12/08,02:30:23 PM
4791,8.43333,123.11667,"Manukan","osm-id 198512688",,"City (Medium)",01/18/08,01:37:37 PM
4790,8.22400,123.02450,"Sindagan","osm-id 198492703",,"City (Medium)",02/12/08,02:31:08 PM
2320,14.40000,121.46667,"Pangil","osm-id 198500563",,"City (Medium)",04/01/08,05:11:21 PM
3645,12.33333,124.36667,"San Isidro","osm-id 198491734",,"City (Medium)",01/18/08,01:25:35 PM
6009,7.00000,124.05000,"Upi","osm-id 198491172",,"City (Medium)",01/18/08,01:25:18 PM
2426,14.15028,121.47403,"Majayjay","osm-id 198531005",,"City (Medium)",08/30/08,03:31:45 PM
2896,12.98333,123.56667,"Donsol","osm-id 198496354",,"City (Medium)",01/18/08,12:41:32 PM
5830,7.91667,124.50000,"Maguing","osm-id 198529631",,"City (Medium)",01/18/08,01:31:21 PM
6,20.76667,121.83333,"Itbayat","osm-id 198493871",,"City (Medium)",12/31/07,12:32:33 PM
5247,11.13333,125.46667,"Giporlos","osm-id 198512316",,"City (Medium)",01/18/08,01:32:44 PM
489,15.44025,120.72982,"La Paz","osm-id 198495824",,"City (Medium)",12/02/08,04:48:16 PM
2435,14.11667,122.01667,"Alabat","osm-id 198493927",,"City (Medium)",01/18/08,12:45:33 PM
2894,12.86667,123.25000,"Claveria","osm-id 198493415",,"City (Medium)",01/18/08,12:45:58 PM
2440,14.70000,122.36667,"Jumalig","osm-id 198524617",,"City (Medium)",01/18/08,01:39:10 PM
538,15.09454,120.76591,"Santa Ana","osm-id 198530302",,"City (Medium)",11/12/08,09:46:12 AM
2428,14.11283,121.55522,"Lucban","osm-id 198505290",,"City (Medium)",08/30/08,03:28:26 PM
2431,14.20197,121.73248,"Mauban","osm-id 198506081",,"City (Medium)",12/23/08,11:55:23 PM
2432,14.18333,121.93333,"Perez","osm-id 198524262",,"City (Medium)",04/01/08,05:14:07 PM
2378,14.23333,121.36667,"Pila","osm-id 198513234",,"City (Medium)",04/01/08,05:02:26 PM
2379,14.19730,121.43308,"Magdalena","osm-id 198502119",,"City (Medium)",09/04/08,08:38:33 PM
2394,14.12978,121.43580,"Liliw","osm-id 198502346",,"City (Medium)",11/24/08,11:23:25 PM
2363,14.14176,121.26661,"Bay","osm-id 198511670",,"City (Medium)",09/16/08,04:08:55 PM
2364,14.10618,121.16165,"Santo Tomas","osm-id 198512298",,"City (Medium)",12/01/08,10:33:21 AM
5935,7.50000,125.93333,"Mawab","osm-id 198505858",,"City (Medium)",01/18/08,12:48:36 PM
5804,7.91667,124.20000,"Balindong","osm-id 198527656",,"City (Medium)",01/18/08,01:27:51 PM
2517,13.73333,120.90000,"Mabini","osm-id 198496936",,"City (Medium)",01/18/08,12:41:12 PM
6061,6.74763,125.35774,"Digos","osm-id 198497618",,"City (Medium)",06/01/08,11:47:57 AM
6015,6.70000,124.43333,"Esperanza","osm-id 198530557",,"City (Medium)",01/18/08,01:31:51 PM
5725,8.95000,125.31667,"Nasipit","osm-id 198511326",,"City (Medium)",01/18/08,01:33:26 PM
2383,14.18333,121.51667,"Luisiana","osm-id 198498613",,"City (Medium)",04/01/08,04:40:31 PM
2384,14.14869,121.31586,"Calauan","osm-id 198516657",,"City (Medium)",12/30/08,03:55:26 PM
